# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
岱山县	岱山県
岱岳区	岱岳区
带宽	帯域幅
带岭区	帯嶺区
带脉	帯脈
带通滤波器	バンドパスフィルタ
带状疱疹	帯状疱疹
带阻滤波器	バンドストップフィルタ
待田堂子	待田堂子
玳瑁	タイマイ
玳瑁斑蜻蜓	ベッコウトンボ
袋	鞄
袋棍球	ラクロス
袋獾	タスマニアデビル
袋狼	フクロオオカミ
袋熊	ウォンバット
戴比尔斯	デビアス
戴秉国	戴秉国
戴潮春	戴潮春
戴德生	ハドソン・テーラー
戴夫	デイヴ
戴高乐广场	シャルル・ド・ゴール広場
戴季陶	戴季陶
戴菊	キクイタダキ
戴克里先	ディオクレティアヌス
戴逵	戴逵
戴立忍	戴立忍
戴笠	戴笠
戴姆勒	ダイムラー (自動車メーカー)
戴佩妮	ペニー・ダイ
戴森	ダイソン
戴森球	ダイソン球
戴上假睫毛	つけまつける
戴胜	ヤツガシラ
戴叔伦	戴叔倫
戴斯酒店	デイズイン
戴维斯海峡	デービス海峡
戴维营	キャンプ・デービッド
戴维营协议	キャンプ・デービッド合意
戴熙	戴熙
戴相龙	戴相竜
戴耀廷	戴耀廷
戴震	戴震
黛安芬	トリンプ・インターナショナル
黛安娜	ダイアナ
黛西公主	デイジー (ゲームキャラクター)
丹巴县	丹巴県
丹波哲郎	丹波哲郎
丹参	丹参
丹顶鹤	タンチョウ
丹东市	丹東市
丹东站	丹東駅
丹毒	丹毒
丹凤县	丹鳳県
丹佛	デンバー
丹佛掘金	デンバー・ナゲッツ
丹佛野马	デンバー・ブロンコス
丹吉尔	タンジェ
丹江口市	丹江口市
丹棱县	丹ロウ県
丹麦	デンマーク
丹麦海峡	デンマーク海峡
丹麦王国	デンマーク王国
丹麦语	デンマーク語
丹尼森	デニソン (テキサス州)
丹瑞	タン・シュエ
丹山	デインヒル
丹特丽安的书架	ダンタリアンの書架
丹田	丹田
丹徒区	丹徒区
丹霞地貌	丹霞地形
丹霞山	丹霞山
丹阳市	丹陽市
丹羽孝希	丹羽孝希
丹羽长秀	丹羽長秀
丹寨县	丹寨県
单胺氧化酶	モノアミン酸化酵素
单板机	ワンボードマイコン
单倍群	ハプログループ
单纯疱疹	単純疱疹
单纯疱疹病毒	単純ヘルペスウイルス
单纯形	単体 (数学)
单纯形法	シンプレックス法
单丹娜	単丹娜
单调函数	単調写像
单环刺螠	ユムシ
单击	ポイント・アンド・クリック
单晶	単結晶
单镜反光相机	一眼レフカメラ
单克隆抗体	モノクローナル抗体
单孔目	カモノハシ目
单例模式	Singleton パターン
单片机	マイクロコントローラ
单亲家庭	一人親家庭
单曲	シングル
单色画	モノクローム
单射	単射
单体	モノマー
单挑	一騎討ち
单位	単一性
单位根	1の冪根
单位换算	単位の換算一覧
单位阶跃函数	ヘヴィサイドの階段関数
单位向量	単位ベクトル
单位圆	単位円
单细胞生物	単細胞生物
单县	単県
单行本	単行本
单行道	一方通行
单性结实	単為結果
单性生殖	単為生殖
单一税	フラット・タックス
单一制	単一国家
单于	単于
单元操作	単位操作
单元测试	単体テスト
单质	単体
单子	モナド (プログラミング)
担保物权	担保
担担面	担担麺
郸城县	鄲城県
儋州市	ダン州市
胆红素	ビリルビン
胆碱	コリン (栄養素)
胆绿素	ビリベルジン
胆囊	胆嚢
胆色素原	ポルフォビリノーゲン
胆汁	胆汁
胆汁酸	胆汁酸
掸邦	シャン州
掸族	シャン族
但	ダン (ヤコブの子)
但尼丁	ダニーデン
但他林	ダンタリオン
但以理	ダニエル
弹道导弹	弾道ミサイル
弹道学	弾道学
弹弓	スリングショット
弹劾	弾劾
弹簧	ばね
弹簧秤	ばねばかり
弹性蛋白	エラスチン
弹性模量	弾性率
弹性体	エラストマー
淡水	淡水
淡水河	淡水河
淡水龙虾	ザリガニ
淡水鱼	淡水魚
蛋白	卵白
蛋白激酶	プロテインキナーゼ
蛋白聚糖	プロテオグリカン
蛋白酶	プロテアーゼ
蛋白酶解	タンパク質分解
蛋白酶体	プロテアソーム
蛋白尿	タンパク尿
蛋白石	オパール
蛋白质	タンパク質
蛋白质组	プロテオーム
蛋白质组学	プロテオーム解析
蛋糕	ケーキ
蛋黄果	カニステル
氮	窒素
氮化硼	窒化ホウ素
氮化物	窒化物
氮循环	窒素循環
氮氧化物	窒素酸化物
蜑家	蛋民
当代史	現代 (時代区分)
当且仅当	同値
当涂县	当塗県
当雄县	ダムシュン県
当阳市	当陽市
党	党
党锢之祸	党錮の禁
党毅飞	党毅飛
氹仔	タイパ島
宕昌	宕昌
宕昌县	宕昌県
砀山县	トウ山県
档案学	文書館学
刀币	刀銭
刀兵	刀兵
刀部	刀部
刀斧手	リクトル
刀耕火种	焼畑農業
刀削面	刀削麺
刀语	刀語
忉利天	とう利天
氘	重水素
导弹	ミサイル
导弹发射井	ミサイルサイロ
导弹防御	ミサイル防衛
导弹快艇	ミサイル艇
导弹制导	ミサイルの誘導方式
导纳	アドミタンス
导尿管	尿道カテーテル
导数	微分法
岛根县	島根県
岛谷瞳	島谷ひとみ
岛链	第一列島線
岛形麻衣奈	島形麻衣奈
捣蛋猪	Bad Piggies
祷告	祈り
倒霉熊	しろくまベッコムが来た!
倒排索引	転置インデックス
倒数	逆数
倒夜香	屎尿
悼公	悼公
盗版	ブートレグ
道	道 (哲学)
道北	道北
道藏	道蔵
道碴	バラスト軌道
道成肉身	受肉
道绰	道綽
道达尔	トタル
道德	道徳
道德风险	モラル・ハザード
道德天尊	太上老君
道尔顿	ドルトン
道孚县	道孚県
道格拉斯	ダグラス
道光	道光
道光帝	道光帝
道家	老荘思想
道教	道教
道具	プロップ
道拉吉里峰	ダウラギリ
道里区	道里区
道路	道路
道南	道南
道歉	謝罪
道生	道生
道士	道士
道氏理论	ダウ理論
道外区	道外区
道县	道県
道宣	道宣
道真仡佬族苗族自治县	道真コーラオ族ミャオ族自治県
稻	米
稻本润一	稲本潤一
稻草富翁	わらしべ長者
稻草人	かかし
稻槎菜	コオニタビラコ
稻城县	稲城県
稻川夏目	稲川なつめ
稻荷神	稲荷神
稻弄蝶	イチモンジセセリ
稻森泉	稲森いずみ
稻盛和夫	稲盛和夫
稻田	田
稻田画	田んぼアート
稻田朋美	稲田朋美
稻垣理一郎	稲垣理一郎
稻垣吾郎	稲垣吾郎
得分后卫	シューティングガード
得墨忒耳	デーメーテール
得荣县	得栄県
锝	テクネチウム
德安县	徳安県
德昂族	トーアン族
德班	ダーバン
德保县	徳保県
德本英一郎	徳本英一郎
德比郡	ダービーシャー
德布勒森	デブレツェン
德昌	徳昌
德昌县	徳昌県
德城区	徳城区
德川家光	徳川家光
德川家康	徳川家康
德川家茂	徳川家茂
德川庆喜	徳川慶喜
德川秀忠	徳川秀忠
德岛县	徳島県
德尔斐	デルポイ
德福考试	TestDaF
德干高原	デカン高原
德格县	徳格県
德贵丽类	ダイキリ
德国	ドイツ
德国博朗	ブラウン (企業)
德国电信	ドイツテレコム
德国电影	ドイツの映画
德国海军	ドイツ海軍 (ドイツ連邦軍)
德国空军	ドイツ空軍 (ドイツ連邦軍)
德国历史	ドイツの歴史
德国联邦最高法院	連邦裁判所 (ドイツ)
德国商业银行	コメルツ銀行
德国十一月革命	ドイツ革命
德国酸菜	ザワークラウト
德国铁路	ドイツ鉄道
德国统一社会党	ドイツ社会主義統一党
德国邮政	ドイツポスト
德国鸢尾	ドイツアヤメ
德国战车	ラムシュタイン
德国之声	ドイチェ・ヴェレ
德国之翼	ジャーマンウイングス
德国总理	ドイツの首相
德黑兰	テヘラン
德黑兰会议	テヘラン会談
德宏傣族景颇族自治州	徳宏タイ族チンポー族自治州
德化白瓷	白磁
德化县	徳化県
德惠市	徳恵市
德惠翁主	徳恵翁主
德江县	徳江県
德井青空	徳井青空
德克萨斯州	テキサス州
德拉	ダルアー
德拉门	ドランメン
德拉省	ダルアー県
德勒	ドルー
德雷克	ドレイク
德雷克海峡	ドレーク海峡
德累斯顿	ドレスデン
德累斯顿银行	ドレスナー銀行
德里	デリー
德利亚	デーリア
德令哈市	デリンハ市
德隆	徳隆
德鲁比	ドルーピー
德律阿得斯	ドリュアス
德罗	ドロ (イタリア)
德米安	デミアン
德米特里	ドミトリー
德摩根定律	ド・モルガンの法則
德钦县	徳欽県
德勤	デロイト トウシュ トーマツ
德清县	徳清県
德庆县	徳慶県
德胜	徳勝
德士古	テキサコ
德文郡	デヴォン
德新社	ドイツ通信社
德兴市	徳興市
德阳市	徳陽市
德意志	ドイッチュ
德意志帝国宪法	ビスマルク憲法
德意志人	ドイツ人
德意志银行	ドイツ銀行
德永绘里	徳永えり
德永英明	徳永英明
德祐	徳祐
德语	ドイツ語
德语文学	ドイツ文学
德语语法	ドイツ語の文法
德元	徳元
德治	徳治
德州	徳州
德州市	徳州市
德州仪器	テキサス・インスツルメンツ
德州站	徳州駅
德宗	徳宗
地	地 (曖昧さ回避)
地板	床
地板舞	ブレイクダンス
地堡	掩体壕
地藏菩萨	地蔵菩薩
地藏菩萨本愿经	地蔵菩薩本願経
地槽	地向斜
地层	地層
地层学	層序学
地磁北极	北磁極
地磁场	地磁気
地底人	地底人
地对地导弹	地対地ミサイル
地方	リージョン
地方法院	地方裁判所
地方分权	自治
地方税	地方税
地方债券	地方債
地方政府	地方公共団体
地方志	地誌
地肤	ホウキギ
地高辛	ジゴキシン
地沟油	地溝油
地和	地和
地级市	地級市
地籍	地籍
地节	地節
地精	ノーム (妖精)
地壳	地殻
地拉那	ティラナ
地雷	地雷
地理大发现	大航海時代
地理位置	立地
地理信息系统	地理情報システム
地理学	地理学
地幔	マントル
地貌学	地形学
地面效应	地面効果
地名	地名
地名学	地名学
地母神	地母神
地球	地球
地球半径	地球半径
地球超人	キャプテン・プラネット
地球村	グローバル・ヴィレッジ
地球大气层	地球の大気
地球帝国	エンパイア・アース
地球化	テラフォーミング
地球化学	地球化学
地球科学	地球科学
地球人	地球人
地球停转之日	地球の静止する日
地球同步轨道	対地同期軌道
地球同步卫星	静止衛星
地球物理学	地球物理学
地球小姐	ミス・アース
地球一小时	アース・アワー
地球引力	地球の重力
地球质量	地球質量
地球自转	地球の自転
地区	地域
地区党	地域党
地塞米松	デキサメタゾン
地上权	地上権
地台	プラットフォーム (地質学)
地坛	地壇
地毯	絨毯
地毯式轰炸	絨毯爆撃
地图	地図
地图投影	投影法 (地図)
地图学	地図学
地纹芋螺	アンボイナガイ
地西泮	ジアゼパム
地峡	地峡
地下城与勇士	アラド戦記
地下街	地下街
地下钱庄	地下銀行
地下人	地下人
地下室	地下室
地下水	地下水
地心说	天動説
地形	地形
地形图	地形図
地衣	地衣類
地役权	地役権
地榆	ワレモコウ
地狱边境	LIMBO (コンピュータゲーム)
地狱变	地獄変
地狱厨房	ヘルズキッチン
地狱邻居	ネイバーズ・フロム・ヘル
地狱男爵	ヘルボーイ
地狱少女	地獄少女
地圆说	地球球体説
地缘政治学	地政学
地震	地震
地震波	地震波
地震工程	耐震
地震学	地震学
地支	十二支
地址	住所
地址解析协议	Address Resolution Protocol
地址栏	アドレスバー
地质公园	ジオパーク
地质构造	テクトニクス
地质年代	地質時代
地质图	地質図
地质学	地質学
地中海	地中海
地中海实蝇	チチュウカイミバエ
地中海式气候	地中海性気候
地主	地主 (曖昧さ回避)
地租	地価税
的	的
的的喀喀湖	チチカカ湖
的黎波里	トリポリ
的里雅斯特	トリエステ
的士速递	TAXi
灯	ランプ (照明器具)
灯笼	提灯
灯市口站	灯市口駅
灯塔	灯台
灯塔市	灯塔市
灯塔水母	ベニクラゲ
灯台树	ミズキ
灯心草	イグサ
灯芯绒	コーデュロイ
登	デン
登出	ログアウト
登封市	登封市
登国	登国
登入	ログイン
登山运动	登山
登堂入室	危険なプロット
等比数列	等比数列
等差数列	等差数列
等待戈多	ゴドーを待ちながら
等待幸福	カフーを待ちわびて
等电点	等電点
等号	等号
等级分	イロレーティング
等级制度	ヒエラルキー
等价关系	同値関係
等宽字体	等幅フォント
等离子体	プラズマ
等位基因	対立遺伝子
等效原理	等価原理
等腰三角形	二等辺三角形
等于	等式
邓	トウ (曖昧さ回避)
邓艾	トウ艾
邓超	ダン超
邓多克	ダンドーク
邓恩铭	トウ恩銘
邓加	ドゥンガ
邓肯	ダンカン
邓琳琳	トウ琳琳
邓石如	トウ石如
邓小平	トウ小平
邓小平理论	トウ小平理論
邓亚萍	トウ亞萍
邓演达	トウ演達
邓颖超	トウ穎超
邓禹	トウ禹
邓州市	トウ州市
邓卓翔	トウ卓翔
邓子龙	トウ子龍
磴口县	磴口県
镫	鐙
氐	テイ (民族)
低白蛋白血症	低アルブミン血症
低地	低地
低地国家	ネーデルラント
低级语言	低水準言語
低聚物	オリゴマー
低俗小说	パルプ・フィクション
低通滤波器	ローパスフィルタ
低温生物学	低温生物学
低温物理学	低温物理学
低血糖	低血糖症
低音管	ファゴット
低音提琴	コントラバス
堤	堤防
堤岸	チョロン地区
堤丰	テューポーン
堤喀	テュケー
堤幸彦	堤幸彦
堤真一	堤真一
滴虫性阴道炎	トリコモナス症
滴道区	滴道区
滴滴涕	DDT
滴定	滴定
滴定管	ビュレット
滴灌	点滴灌漑
滴蜡	ろうそくプレイ
滴露	クロロキシレノール
镝	ジスプロシウム
狄安娜	ディアーナ
狄俄倪索斯	ディオニューソス
狄利克雷分布	ディリクレ分布
狄龙	ティ・ロン
狄青	狄青
狄仁杰	狄仁傑
狄云	狄雲
迪尔伯恩	ディアボーン (ミシガン州)
迪戈加西亚岛	ディエゴガルシア島
迪金森	ディキンソン
迪卡侬	デカトロン
迪克	ディック
迪克森	ディクソン
迪克西	ディキシー
迪拉	デュラス (ロット＝エ＝ガロンヌ県)
迪路兽	テイルモン
迪庆藏族自治州	デチェン・チベット族自治州
迪士尼公主	ディズニープリンセス
迪士尼商店	ディズニーストア
迪斯科	ディスコ (音楽)
迪亚马特	ティアマト
迪亚特洛夫事件	ディアトロフ峠事件
迪耶普	ディエップ (セーヌ＝マリティーム県)
敌草快	ジクワット
敌敌畏	ジクロルボス
敌基督	反キリスト
荻	オギ
荻野真	荻野真
笛	笛
笛卡儿积	直積集合
笛子	笛子
嫡妻	正室
翟让	テキ譲
底波拉	デボラ
底格里斯河	チグリス川
底夸克	ボトムクォーク
底盘	シャシ (自動車)
底片	写真フィルム
底特律	デトロイト
抵抗运动	レジスタンス運動
抵押	譲渡抵当
抵制日货	日本製品不買運動
骶骨	仙骨
弟	弟
帝都	帝都
帝国	帝国
帝国大厦	エンパイア・ステート・ビルディング
帝国主义	帝国主義
帝俊	帝俊
帝力	ディリ
帝王蛋糕	ガレット・デ・ロワ
帝王谷	王家の谷
帝王拿波	エンペルト
帝汶海	ティモール海
帝辛	帝辛
帝乙	帝乙
帝雉	ミカドキジ
递归函数	Μ再帰関数
第比利斯	トビリシ
第二层隧道协议	Layer 2 Tunneling Protocol
第二产业	第二次産業
第二次工业革命	第二次産業革命
第二次世界大战	第二次世界大戦
