# Chinese → Japanese learner glosses
# Source: lxl66566/Japanese-Chinese-thesaurus final.json
# Upstream: https://github.com/lxl66566/Japanese-Chinese-thesaurus
# License: The Unlicense
# Method: invert concise Chinese gloss segments and intersect bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
啊	おお・やあ
大都	たいてい・大抵
大豆	豆
大发脾气	かんかん
大方	おっとり
大概	おおざっぱ・かれこれ
大功	金星
大鼓	太鼓
大规模	大幅
大国	大国
大后天	しあさって
大户人家	大家
大话	大口
大家	おのおの・一同
大家一起	みんなで
大减价	セール・バーゲン
大酱	味噌
大街	大通り
大口大口地	ぐいぐい
大梁	棟
大量	多量・多額
大量的	夥しい
大量积压	山積み
大量销售	量販
大楼	ビル
大陆	大陸
大略	概要
大马哈鱼	サーモン
大马路	表通り
大门	門
大脑	脳
大怒	かんかん
大盘子	大皿
大气	大気
大前天	さきおととい
大晴天	快晴
大人	大人・成人
大人物	大物
大山	大山
大少爷	坊ちゃん
大声	大声
大声地	高々
大声喊叫	怒鳴る
大声叫	叫ぶ
大声训斥	怒鳴りつける・怒鳴る
大使	大使
大使馆	大使館
大受欢迎	ヒットする
大叔	おじさん
大甩卖	売り出す・大売出し
大水	大水
大蒜	ニンニク
大体	大体
大体上	あらかた・およそ
大厅	イベントホール・ホール
大同小异	似たり寄ったり
大头针	ピン
大腿	股/腿
大碗	どんぶり
大王	王様
大象	象
大小	大小
大型	大型・大手
大学	大学
大学生	大学生
大爷	おじさん
大衣	コート
大意	怠る
大雨	大雨・豪雨
大约	およそ・そこそこ
大张旗鼓	鳴り物入り
大正	大正
大致	あらかた・だいたい
大众	民衆
大众传播	マスコミ
呆板的	機械的
歹心	出来心
逮捕	捕まる
逮住	捕まえる
代	代名詞
代办	代弁・代行
代表	代表
代付	立て替える
代价	犠牲
代理	代理
代理人	代理人
代码	コード
代替	代わり・代わる/替わる
代销	取り次ぐ
带	ひも
带出去	連れ出す
带刺	とげ・棘
带回	持ち帰り
带进	持ち込む
带来	もたらす・持参
带领	リード・引率
带路	案内します
带去	もたらす
带头	率先
带薪休假	年休
带有	帯びる
带着	従える
带着家人	家族連れ
带子	帯・衣帯
待会儿	後にする
待人处事	当たり
怠慢	怠慢・欠く
贷款	ローン・代金
袋泡茶	ティーバッグ
袋子	袋
戴	着ける・被る
戴上	嵌める・掛ける
丹桂	キンモクセイ
单程	片道
单纯	簡単［な］
单纯的	シンプル
单词	単語
单独	単一
单个	シングル
单据	伝票
单口相声	落語
单人	シングル
单人间	シングルルーム
单身	シングル・独り身
单身赴任	単身赴任
单手	片手
单数	単数
单位	単位
单相思	片思い
单向通行	一方通行
单字	ことば
担	担う
担保	保証
担当	担任
担当者	担当者
担负	帯びる・担う
担架	担架
担任	受け持つ・司る/掌る
担心	はらはら・不安
担忧	危ぶむ
耽误	手遅れ
胆固醇	コレステロール
胆量	度胸
胆怯	卑怯・怯える
胆小	臆病
胆子	度胸
但	但し
但是	けれども・ただし
诞生	出生・生まれ
弹	弾きます
弹簧	スプリング
弹力	スプリング
弹性	弾力
淡	淡泊
淡淡地	うっすり
淡的	浅い・淡い
淡化	薄める
淡泊	あっさり
淡然	淡泊
蛋白质	蛋白質
蛋糕	ケーキ
当	務める
当初	当初
当当响	じゃんじゃん
当地	地元・地頭
当机立断	決断
当前	目先
当权	憚る
当然	もちろん・無論
当日	当日
当时	そのころ・当時
当事人	当人
当天	当日
当天往返	日帰り
当真	本気
当中	うち・間
当作	見なす
挡住	遮る
荡	漕ぐ
档案	ファイル
刀	刀・刃物
刀背	峰
刀具	刃物
刀伤	切り傷
刀子	ナイフ
导弹	ミサイル
导入	導入・導入する
导演	監督
导游	ガイド・案内役
导致	導く
岛	島
岛国	島国
岛上居民	島民
岛屿	島
祷告	祈り
到	もって・行く
到场	立ち会う
到处	あちらこちら・所々
到处奔走	飛び回る
到处都是	ごろごろ・散らかる
到处跑	走り回る
到处走	歩き回る
到此为止	これまで
到达	着きます・着く
到达终点	ゴールイン
到底	あくまで・いったい
到货	入荷
到来	来る
到哪里	どこまで
到那时	それまで
到期	満ちる
到齐	揃う
到手	入手
倒	引っ繰り返る・汲む
倒闭	倒れる・潰れる
倒过来	逆転
倒数第一	びり
倒塌	倒れる・潰れる
倒退	退化・逆転
倒下	ダウン・倒れる
悼念	悼む
盗贼	泥棒
道具	ツール・道具
道理	つじつま・筋道
道路	通り・道路
道路宽度	道幅
道歉	お詫び・謝る
稻草	藁
稻田	田／田んぼ
稻子	稲
得病	発病
得出结论	煮詰める
得到	いただく・もらいます
得分	得点・点数
得奖	入賞・受賞
得救	助かる
得胜	勝ちます
得失	損得
得势	台頭
得手	入手
得意	会心
得意扬扬	有頂天
得知	知ります
德川家康	徳川家康
德国	ドイツ
地	地
地层	地層
地带	一帯
地道	トンネル・本場
地方	地方・所
地方话	方言
地价	地価
地里	地中
地理	地理
地裂	地割れ
地面	地・地面
地面上	地上
地名	地名
地盘	地盤・縄張り
地皮	敷地
地球	地
地球上	地上
地区	区域・地区
地上	地上
地摊	屋台
地毯	カーペット
地图	地図
地位	ポジション・位
地下	地下・地中
地形	地形
地狱	地獄
地域	地域
地震烈度	震度
地址	アドレス・宛先
的	た形
的确	いかにも・どうにも
的确如此	そのとおりです
灯	明かり・灯
灯光	ライト・灯
灯塔	灯台
登	上がる・上る
登岸	上陸
登场	出場・脚光
登场人物	キャラクター
登山	山登り・登山
登台表演	出演
登载	掲げる・載せる
蹬	漕ぐ
等	待ちます・待つ
等待	待つ
等等	云々
等号	イコール
等候	待ち合わせ
等候室	待合室
等级	クラス
等一下	あとで
等于	イコール
邓小平	鄧小平
瞪大眼睛	目を見張る
瞪眼	睨む
低的	低い
低气压	低気圧
低声	小声
低头	俯く
堤坝	堤
堤防	堤防
滴滴答答	たらたら・だらだら
敌	敵
敌不过	かなわない
敌得过	敵う
敌人	敵
敌手	敵
嘀嘀咕咕	ぐちゃぐちゃ
嫡派	本家
诋毁	貶す
底片	构造
底座	基盤
抵达	着く
抵抗	抗う
抵销	相殺
弟弟	弟・弟さん
弟子	弟子
递给	寄越す
第二	乙・明くる
第二天	翌日
第六感	勘
第一	随一
第一次	初めて
第一名	トップ
第一位	トップ・甲
第一印象	第一印象
缔结	結ぶ
颠倒	あべこべ
颠倒过来	引っ繰り返る
典礼	セレモニー
典雅	上品
点	ポイント・点
点播	リクエスト
点菜	注文
点击	クリック
点数	ポイント
点头	うなずく・頷く
点头致意	会釈
点心	おやつ・［お］菓子
点缀	ちりばめる・彩る
踮起脚	背伸び
电	電力
电波	電波
电车	電車
电池	バッテリー・電池
电灯	電気・電灯
电饭锅	電気釜
电风扇	扇風機
电缆	ケーブル・電線
电力	電力
电铃	ベル
电流	電気・電流
电路	回路
电脑	コンピューター
电气	電気
电器	電気製品
电器行	電気屋
电视机	テレビ
电视剧	ドラマ
电视台	放送局
电线	ケーブル
电影	映像・映画
电影导演	映画監督
电影节	映画祭
电影院	映画館
电源	電源
电源开关	スイッチ
电子	電子
电子辞典	電子辞書
店	店
店里	店内
店内	店内
垫	敷く
惦念	気がかり
奠定	定める
凋谢	萎む
雕	彫る
雕刻	刻む
吊	つり下げる
吊床	ハンモック
吊带	ストラップ
吊桥	架け橋
钓鱼	釣る
调包	すり替える
调查	取り調べる・調べます
调查证明	査証
调动	動員
调动工作	転勤になる
调羹	れんげ
调合	調和
调换	入れ替える・差し替える
调回	回送
调节	加減・調整
调解	取りまとめる・調停
调开	溶く
调理	調理
调配	配属
调味	加味
调味酱	ドレッシング
调味品	スパイス・調味料
调味汁	ソース・ドレッシング
调戏	からかう
调整	加減・調整する
掉	落ちます・落ちる
掉入	落ち込む
掉色	褪せる
掉下	墜落・外れる
掉下来	取れる
跌倒	転がる・転びます
喋喋不休	お喋り・がんがん
叠放	重ねる
叠加	重ね合わせる
碟子	皿
叮	食う
顶点	クライマックス・ピーク
顶多	せいぜい（精精）・多くとも
顶峰	天辺・頂上
顶棚	天井
顶上去	押し上げる
顶替	すり替える
顶撞	突っかかる
鼎盛	全盛
订购	取り寄せる・注文
订婚	婚約
订货	注文
订上	綴じる
订书钉	弾
订书机	ホッチキス
订正	正す
定居	住み着く・定着
定量供应	配給
定律	法則
定论	定説
定期	定期
定时器	タイマー
定义	定義
定员	定員
定制	オーダーメイド
定做	オーダーメイド・誂える
丢掉	捨てます・無くす
丢弃	捨てる
丢失	紛失・落とす
东北	北東・東北
东奔西走	飛び回る
东方	朹洋・東
东方明珠	東方の真珠
东方人	朹洋人
东方医学	朹洋医学
东海道	東海道
东京大学	東大
东南	南東・東南
东南西北	東西南北
东南亚	東南アジア
东山再起	カムバック
东西	東西
东洋	東洋
东张西望	きょろきょろ
冬季	冬
董事	役員
懂	わかります
懂得	分かる・心得る
懂规矩	規則正しい
懂事	重役
动	動かす・動く
动不动就	ややもすれば
动弹不得	立ち往生
动画	動画
动画片	アニメ
动画制作	アニメ
动力	パワー
动身	発つ・発足
动态的	ダイナミック
动物	動物
动物园	動物園
动向	動き・動向
动摇	ぐらつく・動く
动辄	ともすると・どうかすると
动作	アクション・動き
动作片	アクション
冻结	フリーズ・封鎖
恫吓	威嚇
洞穴	穴
都	都
都市	市
斗争	ファイト・争う
斗志	ファイト
豆	豆
豆腐	豆腐
豆沙包	饅頭
豆沙面包	あんパン
豆沙馅儿	こしあん
豆馅	餡
逗号	コンマ
逗留	滞在
逗笑	くすぐる
嘟囔	ぼやく
毒	毒
毒物	毒
独创	オリジナル
独创性	オリジナリティー
独立	巣立ち・自立
独立经营	自営
独立自主	自主
独身	独り・独り身
独生女	一人娘
独生子	一人息子
独生子女	一人っ子
独特	独特
独一无二	唯一
独有	特有
独自	一人で・単独
独自一人	独り
读	ご覧になります
读懂	読み取る
读法	読み方
读书	読書
读完	読み上げる
读音	音
读者	読者
渎职	汚職
堵塞	塞がる・詰まる
赌博	ギャンブル
赌钱	賭ける
赌输赢	賭ける
杜撰	フィクション
肚子	おなか・腹
肚子饿了	おなかがすきました
度过	過ごす
度假地	リゾート
度日	暮らし・暮らす
度数	目盛り
渡	渡る
渡船	フェリー
渡过	乗り切る
渡口	フェリー
镀铝	アルミ
端正	整う・正す
短处	弱点・短所
短的	短い
短裤	パンツ
短期	短期
短袜	ソックス
短信	メッセージ
短暂	露
短暂的	はかない・短い
段	区間・命令形
段落	切れ目・区切り
断	折れます・断つ
断定	断言・特定
断断续续	点々
断绝	切る・断ち切る
断绝关系	去る
断开	中断・切れる
断面	断面
断念	あきらめる・見切る
断然	きっぱり・断固
断水	断水
断言	断言・言い放つ
缎带	リボン
锻炼	トレーニングする・練る
堆高	盛る
堆积	積もる
堆积起来	積み上げる
堆满	詰まる
堆起来	盛る・積み重ねる
队	チーム・列
队员	メンバー
队长	キャプテン
对	うん・はい
对岸	向こう岸・彼岸
对比	コントラスト・対照
对不起	すまない・失礼ですが
对策	対策
对待	取り扱い・取り扱う
对方	向こう・相方
对话	やりとり
对讲机	インターフォン
对劲儿	しっくり
对决	対決
对抗	反抗
对了	そういえば
对立	張り合い
对路	向く
对面	向こう
对视	見返す
对手	敵・相手
对象	対象・相手
对应	対応
对于	対する
对照	コントラスト・対比
对质	対決
兑换	チェンジ・両替
兑水	水割り
吨	トン
敦厚的	温厚
蹲	屈む
蹲下	屈む
炖	煮る
盾牌	盾
多次	重ねる
多的	多い
多方	かれこれ
多方面	多岐
多管闲事	お節介
多久	どのぐらい
多么	どれだけ・どれほど
多民族国家	多民族国家
多年	長年
多少	なんて・なんらか
多少钱	いくら
多数	多く・多数
多数决定	多数決
多谢	おおきに
多样性	バラエティー
多余	蛇足
多种多样	多種多様
哆哆嗦嗦	がたがた
哆嗦	がたがた・ぶるぶる
夺取	もぎ取る・乗っ取る
躲避	避ける
躲开	遠ざける
躲入	潜り込む
堕落	腐敗
额外	エキストラ・余分
厄尔尼诺	エルニーニョ
厄运	不幸
恶毒的	あくどい
恶寒	悪寒
恶化	悪化・拗れる
恶劣的天气	悪天候
恶劣影响	弊害
恶魔	悪魔
恶心	むかむか・吐き気
恶战	悪戦
恶作剧	意地悪
饿	ぺこぺこ・飢える
饿肚子	減る
愕然	あきれる
鳄梨	アボカド
恩惠	恵み
恩情	恩・恩恵
恩师	恩師
儿歌	童謡
儿童	児童・子供
儿媳	嫁
而且	おまけに・しかも
耳朵	耳
耳朵背	耳が遠い
耳环	イヤリング
耳机	イヤホン
耳饰	イヤリング
饵	餌
饵料	えさ
饵食	えさ
二	二
二儿子	次男
二个	2つ
二个人	2人
二女儿	次女
二十岁	二十歳
二手车	中古車
二氧化碳	二酸化炭素
发报	発信
发表	発表
发布	発表
发财	儲ける
发潮	湿る
发出	発送
发出声音	鳴る
发呆	うっとり・ぼうっと
发电	発電
发动	働きかける
发动机	エンジン・モーター
发抖	がたがた・ぶるぶる
发端	発する
发疯	狂う
发给	交付・宛てる
发光	光る
发红	赤らむ
发挥	振るう
发挥作用	役目を果たす
发火	怒る・腹を立てる
发迹	出世・浮かび上がる
发觉	悟る・気づく
发牢骚	ぶつぶつ・ぼやく
发麻	痺れる
发黏	粘る
发怒	とがる・むかつく
发散	発散
发烧	熱・熱っぽい
发射	打ち上げ・打ち上げる
发生	生じる
发生纠纷	もつれる
发誓	誓う
发售	発売します
发送	送付・配送
发条	ねじ
发现	探し出す・気づきます
发祥地	本家
发行	刊行
发型	髪型
发炎	咎める・気触れる
发痒的	くすぐったい・痒い
发音	歯切れ・音
发育	成長・育ち
发展	成長・歩む
发展历程	歩み
乏力	だるい
法案	法案
法规	法規
法律	法・法規
法网	網
法务省	法務省
帆船	ヨット
番茄	トマト
翻倒	引っくり返る・引っ繰り返る
翻跟头	宙返り
翻过	越える
翻过来	ひっくり返す・裏返す
翻来覆去	転々
翻身	浮かび上がる
翻新	リフォーム
翻译	訳す・訳する
翻转	翻す
烦恼	患う・病む
烦恼的	悩ましい
烦躁	いらいら
繁华的	賑やか
繁华街	繁華街
繁华街道	市街
繁华区	繁華街
繁茂	茂る
繁荣	好況・繁盛
繁荣兴盛	栄える
繁殖	生育
反	逆
反常的	おかしい・変
反穿	裏表
反倒	かえって・却って
反对意见	異議
反而	かえって・却って
反复	くれぐれも・繰り返す
反复读	読み返す
反复说	言い返す
反复思考	突き詰める
反复问	聞き返す
反感	反発・抵抗
反躬自问	省みる
反抗	抗う・抵抗
反馈	フィードバック
反面	反面・裏
反叛	反乱
反射	照り返す
反省	思い返す・省みる
反思	反省
反响	反応・反響
反应	反響・手ごたえ
反应迟钝	無神経
反应慢	無神経
反映	反映
反照	照り返す
反正	いずれ・いずれにしても
反证	裏返し
反转	逆転
返还	戻します・戻す
